"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.8,0,158,-7.19548794893102
3.8,0,159,-7.14783968199391
3.8,0,160,-7.09950585255395
3.8,0,161,-7.05084856629283
3.8,0,162,-7.00222612170138
3.8,0,163,-6.95399014469186
3.8,0,164,-6.90648300257457
3.8,0,165,-6.86003550800499
3.8,0,166,-6.81496491345357
3.8,0,167,-6.7715731883135
3.8,0,168,-6.73014556401823
3.8,0,169,-6.69094932746568
3.8,0,170,-6.65423283953311
3.8,0,171,-6.62022475335675
3.8,0,172,-6.58913340615551
3.8,0,173,-6.56114635849781
3.8,0,174,-6.53643005584963
3.8,0,175,-6.51512958882002
3.8,0,176,-6.49736853057712
3.8,0,177,-6.4832488323102
3.8,0,178,-6.47285076025244
3.8,0,179,-6.46623286057211
3.8,0,180,-6.46343194132644
