"$Ha [mm]","$La [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
2,18,2.97,-7.64375997756334
2,18,2.98,-7.74684652803994
2,18,2.99,-7.83775930666248
2,18,3,-7.91577448440499
2,18,3.01,-7.98039197757345
2,18,3.02,-8.03135710223266
2,18,3.03,-8.06866950222304
2,18,3.04,-8.09257856652802
2,18,3.05,-8.10356602471587
2,18,3.06,-8.10231775485134
2,18,3.07,-8.08968782483596
2,18,3.08,-8.06665827330137
2,18,3.09,-8.03429809487117
2,18,3.1,-7.99372441024996
2,18,3.11,-7.94606802908363
2,18,3.12,-7.89244473059157
2,18,3.13,-7.83393275091058
2,18,3.14,-7.77155628667049
2,18,3.15,-7.70627435526793
2,18,3.16,-7.63897409769233
2,18,3.17,-7.57046753867018
2,18,3.18,-7.50149088205008
2,18,3.19,-7.43270556343394
2,18,3.2,-7.36470045969039
2,18,3.21,-7.29799483015056
2,18,3.22,-7.23304171394052
2,18,3.23,-7.17023162096089
2,18,3.24,-7.10989642882189
2,18,3.25,-7.05231343926502
2,18,3.26,-6.99770956330876
2,18,3.27,-6.94626560353027
2,18,3.28,-6.89812059273218
2,18,3.29,-6.8533761371761
2,18,3.3,-6.81210070394494
2,18,3.31,-6.7743337882935
2,18,3.32,-6.74008989917646
2,18,3.33,-6.70936231003347
2,18,3.34,-6.68212653814627
2,18,3.35,-6.65834354126431
2,18,3.36,-6.63796265758559
2,18,3.37,-6.62092436631005
2,18,3.38,-6.60716300393738
2,18,3.39,-6.59660960488614
2,18,3.4,-6.589194970118
2,18,3.41,-6.58485280393105
2,18,3.42,-6.58352228810008
2,18,3.43,-6.58514907878482
2,18,3.44,-6.58968400974687
2,18,3.45,-6.5970800138652
2,18,3.46,-6.60728906303414
2,18,3.47,-6.62026091458321
2,18,3.48,-6.63594406368333
2,18,3.49,-6.65428793123328
2,18,3.5,-6.6752450248068
2,18,3.51,-6.69877234845783
2,18,3.52,-6.72483195277168
2,18,3.53,-6.75339082751443
2,18,3.54,-6.78442038094295
2,18,3.55,-6.81789567733523
2,18,3.56,-6.85379452092571
2,18,3.57,-6.8920964158442
2,18,3.58,-6.93278139859785
2,18,3.59,-6.9758287231984
2,18,3.6,-7.02121537116391
2,18,3.61,-7.06891435440947
2,18,3.62,-7.11889277625514
2,18,3.63,-7.17110961398389
2,18,3.64,-7.22551318627024
2,18,3.65,-7.28203827180269
2,18,3.66,-7.34060285348361
2,18,3.67,-7.40110447798853
2,18,3.68,-7.46341624564038
2,18,3.69,-7.52738248285705
2,18,3.7,-7.59281420076642
2,18,3.71,-7.65948450990445
