"$Ha [mm]","Freq [GHz]","dB(ActiveS(4:1)) []"
6,3.34,-6.60571386495448
6,3.35,-6.59646627116873
6,3.36,-6.58382064183341
6,3.37,-6.56821430846376
6,3.38,-6.55002491525257
6,3.39,-6.52956977958118
6,3.4,-6.50711474020054
6,3.41,-6.48289021754105
6,3.42,-6.4571097512128
6,3.43,-6.42998576181692
6,3.44,-6.40173894800446
6,3.45,-6.37260049641278
6,3.46,-6.3428086527601
6,3.47,-6.31260228995298
6,3.48,-6.28221394994183
6,3.49,-6.25186400449381
6,3.5,-6.22175666242443
6,3.51,-6.19207787485944
6,3.52,-6.16299482709256
6,3.53,-6.13465658739305
6,3.54,-6.10719550737669
6,3.55,-6.08072905254004
6,3.56,-6.05536183519461
6,3.57,-6.03118770196319
6,3.58,-6.00829178729732
6,3.59,-5.98675248434672
6,3.6,-5.96664330914504
6,3.61,-5.94803464804273
6,3.62,-5.93099538550618
6,3.63,-5.91559441273652
6,3.64,-5.90190201906007
6,3.65,-5.8899911689668
6,3.66,-5.87993866869747
6,3.67,-5.87182622762066
6,3.68,-5.86574142116828
6,3.69,-5.86177856342201
6,3.7,-5.86003949798522
6,3.71,-5.86063431484052
6,3.72,-5.86368199773741
6,3.73,-5.86931100055657
6,3.74,-5.87765974144995
6,3.75,-5.88887698997093
6,3.76,-5.90312210487966
6,3.77,-5.92056505942072
6,3.78,-5.94138616811274
6,3.79,-5.9657754072401
6,3.8,-5.9939312048047
6,3.81,-6.02605857127845
6,3.82,-6.06236645882527
6,3.83,-6.10306428391673
